,importance,feature
0,14.077053122364454,v50
470,7.076235404740569,v22_v113_v91_v52
184,2.6095841275180973,v56v66
195,2.3547870851683106,v56v79
58,1.7576851475111168,v66v110
77,1.667802997065721,v66v47
95,1.289964286657169,v66v31
1579,1.2733898763698752,v21v50
79,1.2283262669227317,v56v47
1327,1.2187344044008162,v22_v62_v30_v24
183,1.1185055886563637,v79v66
170,1.1163699417552737,v66v38
498,0.9955280702746654,v22_v113_v72_v56
1,0.959865865060108,v10
1584,0.9534405310834769,v12v50
1575,0.8285425925833221,v10v50
112,0.8157559171859375,v66v129
143,0.8132817185653736,v66v62
133,0.7851823841309472,v24v113
187,0.7304723619682275,v24v66
36,0.6470294256938262,v72
1326,0.6374266487845753,v22_v56_v30_v75
114,0.6271648373495416,v56v129
1665,0.6245279701505041,v12v34
3,0.5636656759665926,v34
1576,0.5220331814393034,v14v50
208,0.47714147139594926,v24v56
929,0.47199559885075615,v22_v66_v30_v75
54,0.4582708040712323,v113v110
165,0.44839474781301636,v75v72
38,0.44702501127928845,v66
191,0.4410007188835313,v71v66
63,0.418501632640145,v24v110
128,0.418003974066514,v66v113
56,0.414937894129458,v72v110
157,0.4032716502805691,v66v72
82,0.39820654230680574,v24v47
193,0.3912515060074442,v52v66
1167,0.37696614351755253,v22_v62_v66_v56
1578,0.3711519945384832,v114v50
10,0.36768313510612677,v12
164,0.3651576824411161,v91v72
4,0.3615860418945114,v114
156,0.3570604045481307,v38v72
186,0.3379483875292684,v107v66
1357,0.32529674829217664,v22_v62_v30_v75
185,0.32527138220002894,v30v66
115,0.3247450142342024,v30v129
100,0.3155755150769747,v24v31
701,0.3127248358255314,v22_v66_v71_v52
1690,0.2982314503625198,v12v114
1612,0.2966803805457258,v12v10
807,0.27807365420296726,v22_v30_v24_v91
5,0.27124256938844676,v21
189,0.2709125599515635,v91v66
658,0.2650556468139676,v22_v129_v79_v30
949,0.2543618607895569,v22_v129_v38_v107
190,0.2539946318811985,v75v66
201,0.24544214429764738,v75v79
1685,0.2445784645901319,v21v114
188,0.23894400560686768,v112v66
171,0.2381563110649178,v79v38
1605,0.23754764450100102,v34v10
67,0.2366312207736607,v71v110
252,0.22539809184607373,v125v75
172,0.22490985194661603,v56v38
686,0.2153398189050665,v22_v31_v72_v91
1251,0.20941738241620372,v22_v62_v72_v52
1272,0.20540739304159722,v22_v62_v107_v52
142,0.20535163604241535,v38v62
168,0.2025072655304169,v52v72
97,0.20009913803306792,v56v31
61,0.19982309996047148,v30v110
213,0.19872244236355865,v125v56
166,0.19790458423580382,v71v72
40,0.19783251448797873,v56
93,0.1946372939453211,v72v31
130,0.19405454422911197,v56v113
1941,0.18720103905562197,v36v61
202,0.1864376949120475,v71v79
198,0.18544137765784827,v24v79
1659,0.18469924857642026,v114v34
154,0.18415153185839772,v52v62
1633,0.1791870427766789,v114v14
2402,0.17868227795382943,v50_v10_v21
1451,0.17819624069529125,v22_v62_v24_v112
162,0.17731510441713424,v24v72
96,0.1761290571352116,v79v31
161,0.17538711832425405,v107v72
127,0.1699073126853335,v38v113
148,0.16861561316009294,v24v62
1807,0.16859153926122492,v61v48
1549,0.16529220020963983,v22_v56_v71_v52
1606,0.1649987634865973,v114v10
2401,0.1625039049514081,v50_v21_v12
98,0.16088237037840042,v30v31
145,0.15986406305658124,v56v62
1256,0.15983317857102763,v22_v62_v24_v91
1339,0.15930620205391272,v22_v62_v71_v52
236,0.15859969140624094,v71v24
52,0.15796067054806756,v31v110
60,0.1564183967900621,v56v110
129,0.15195700764982634,v79v113
1277,0.15135738660621073,v22_v62_v66_v71
159,0.15128756638141933,v56v72
34,0.15025316104171213,v113
134,0.14984571055164855,v112v113
260,0.14211542870187863,v22v52
109,0.14155087923194762,v62v129
204,0.1413094874741903,v52v79
223,0.137861455564199,v52v30
200,0.136604215725708,v91v79
125,0.13645570675271584,v62v113
1577,0.1341445557574802,v34v50
196,0.1323604391522752,v30v79
139,0.13204371998124745,v52v113
258,0.13019550893820026,v52v125
73,0.13013674682041224,v113v47
244,0.1295150756151866,v52v112
141,0.12918694349052948,v72v62
1819,0.12864786807331458,v65v48
75,0.1284304493663698,v72v47
238,0.12813862464876022,v52v24
111,0.12736337775961692,v38v129
242,0.12572502962653895,v71v112
901,0.12533856973761684,v22_v129_v24_v71
782,0.12365487196586936,v22_v72_v66_v30
207,0.12301108885061977,v107v56
811,0.12176871486171698,v22_v110_v66_v71
137,0.12155042521253319,v71v113
222,0.12140957126491782,v125v30
212,0.12046923629997705,v71v56
955,0.11968730872787936,v22_v129_v72_v66
428,0.11935148729857746,v22_v107_v125
33,0.11869923474009779,v129
1632,0.11750794513072949,v34v14
83,0.1168530950477784,v112v47
255,0.11528192410324753,v125v71
306,0.1150576517610773,v22_v31_v30
2037,0.11480237930108333,v50_v114_v36
646,0.11299258671547169,v22_v110_v129_v113
2403,0.1127954042227594,v50_v34_v21
192,0.11130373729713017,v125v66
233,0.11111244648472479,v112v24
55,0.10877183427118675,v62v110
176,0.10809090948164092,v112v38
85,0.1078388904887358,v75v47
104,0.10649638084352663,v71v31
138,0.1063283209466599,v125v113
197,0.105818905526703,v107v79
153,0.1050894125460233,v125v62
2125,0.1048923695646953,v50_v119_v101
